Section,Title A,Title B,Title C,Description,Type
Power and Communications,Surface Mounted Plugmold Raceway,For Desks and Big Tables,None,"Plugmold, Two Circuit",
Power and Communications,Surface Mounted Plugmold Raceway,For Desks and Big Tables,None,Mounting Kit for Plugmold,
Power and Communications,Desktop Outlet Center,"Three, Four or Five Positions",None,Desktop Outlet Center,
Power and Communications,Desktop Outlet Center,"Three, Four or Five Positions",None,Desk Mount Outlet Center Shroud,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Cable Clips for Desk and Big Table Rails,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Cable Clips for Big Table Center Beam,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Cable Clips for Wall Studs,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Beam Cable Manager (set of 10),
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager","Upper Cable Baskets (12"" D Shown)",
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Upper Cable Baskets for standing height table,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager","Lower Cable Baskets (6"" D Shown)",
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Basket without mount,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Lower Cable Basket Mount Kit,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Cable Basket Extra Mount Kit,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Cable Basket Extension Kit,
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Antenna Wire Basket Cover (pair),
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Antenna Wire Basket End Cap (pair),
Power and Communications,Cable Management,For Desks and Big Tables,"Cable Clips, Cable Baskets and Vertical Infeed/Wire Manager",Vertical Infeed/Wire Manager,
Fence Components,Fence Structure,"Frames, Legs and Stabilizer Foot",None,Frames,
Fence Components,Fence Structure,"Frames, Legs and Stabilizer Foot",None,Individual Legs,
Fence Components,Fence Structure,"Frames, Legs and Stabilizer Foot",None,Stabilizer Foot,
Fence Components,Fence Connectors and Trim,Antenna Crown Top Caps and Flat Ends,None,Flat Ends,
Fence Components,Fence Connectors and Trim,Antenna Crown Top Caps and Flat Ends,None,Crown Top Caps (pair),
Fence Components,Fence Connectors and Trim,Antenna Crown Top Caps and Flat Ends,None,Crown Top Cap Center Channel,
Fence Components,Fence Connectors and Trim,Antenna Connectors,None,L Connectors (Two-Way),
Fence Components,Fence Connectors and Trim,Antenna Connectors,None,T Connectors (Three-Way),
Fence Components,Fence Connectors and Trim,Antenna Connectors,None,X Connectors (Four-Way),
Fence Components,Fence Connectors and Trim,Antenna Connectors,None,V Connectors (Two-Way 120 degree),
Fence Components,Fence Connectors and Trim,Antenna Connectors,None,Y Connector (Three-Way 120 Degree),
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Outlet Modules,
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Infeeds,
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Duplex Receptacles, Extended Face For Use With 4-4-2 Electrical System",
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Duplex Receptacles, Extended Face For Use With Fence",
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Duplex Receptacles, Extended Face For Use With Fence",
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Outlet Fillers,
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,PDC Module Extension Kit,
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Cable Clips for Wall Studs,
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Jumper Cable, 2+2",
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Jumper Cable, 3+3",
Fence Components,Electrical Components for Fence,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Jumper Cable, 4-4-2",
Fence Components,Upper Covers,"Outlet, Cable Tray and Slatwall Covers","For 25"" or 28"" High Fence",Upper Outlet Covers,
Fence Components,Upper Covers,"Outlet, Cable Tray and Slatwall Covers","For 25"" or 28"" High Fence",Upper Cable Tray Covers,
Fence Components,Upper Covers,"Outlet, Cable Tray and Slatwall Covers","For 25"" or 28"" High Fence",Upper Slatwall Covers,
Fence Components,Upper Covers,Painted,"For 25"" or 28"" High Fence",Upper Painted Covers,
Fence Components,Upper Covers,Laminate,"For 25"" or 28"" High Fence",Upper Laminate Covers,
Fence Components,Upper Covers,Veneer,"For 25"" or 28"" High Fence",Upper Veneer Covers,
Fence Components,Lower Covers,Painted,"For 25"" or 28"" High Fence","Lower Painted Covers for 25"" High Fence",
Fence Components,Lower Covers,Painted,"For 25"" or 28"" High Fence","Lower Painted Covers for 28"" High Fence",
Fence Components,Lower Covers,Laminate,"For 25"" or 28"" High Fence","Lower Laminate Covers for 25"" High Fence",
Fence Components,Lower Covers,Laminate,"For 25"" or 28"" High Fence","Lower Laminate Covers for 28"" High Fence",
Fence Components,Lower Covers,Veneer,"For 25"" or 28"" High Fence","Lower Veneer Covers for 25"" High Fence",
Fence Components,Lower Covers,Veneer,"For 25"" or 28"" High Fence","Lower Veneer Covers for 28"" High Fence",
Fence Components,Full Covers,Painted,"For 25"" or 28"" High Fence","Full Painted Covers for 25"" High Fence",
Fence Components,Full Covers,Painted,"For 25"" or 28"" High Fence","Full Painted Covers for 28"" High Fence",
Fence Components,Full Covers,Laminate,"For 25"" or 28"" High Fence","Full Laminate Covers for 25"" High Fence",
Fence Components,Full Covers,Laminate,"For 25"" or 28"" High Fence","Full Laminate Covers for 28"" High Fence",
Fence Components,Full Covers,Veneer,"For 25"" or 28"" High Fence","Full Veneer Covers for 25"" High Fence",
Fence Components,Full Covers,Veneer,"For 25"" or 28"" High Fence","Full Veneer Covers for 28"" High Fence",
Fence Components,Desk Screens,Fabric,"For 42"" High Horizon","Fabric Screens with Partial Modesty For Desks, 42"" High Horizon",
Fence Components,Desk Screens,Fabric,"For 42"" High Horizon","Fabric Screens with Half Modesty For Desks, 42"" High Horizon",
Fence Components,Desk Screens,Fabric,"For 49"" High Horizon","Fabric Screens with Partial Modesty For Desks, 49"" High Horizon",
Fence Components,Desk Screens,Fabric,"For 49"" High Horizon","Fabric Screens with Half Modesty For Desks, 49"" High Horizon",
Fence Components,Desk Screens,"Laminate, Markerboard or Veneer","For 42"" High Horizon","Screens with Partial Modesty For Desks, 42"" High Horizon",
Fence Components,Desk Screens,"Laminate, Markerboard or Veneer","For 42"" High Horizon","Screens with Half Modesty For Desks, 42"" High Horizon",
Fence Components,Desk Screens,"Laminate, Markerboard or Veneer","For 49"" High Horizon","Screens with Partial Modesty For Desks, 49"" High Horizon",
Fence Components,Desk Screens,"Laminate, Markerboard or Veneer","For 49"" High Horizon","Screens with Half Modesty For Desks, 49"" High Horizon",
Fence Components,Big Table Screens,Fabric,"For 42"" or 49"" High Horizon","Fabric Screens For Big Table Center Beam, 42"" High Horizon",
Fence Components,Big Table Screens,Fabric,"For 42"" or 49"" High Horizon","Fabric Screens For Big Table Center Beam, 49"" High Horizon",
Fence Components,Big Table Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Screens For Big Table Center Beam, 42"" High Horizon",
Fence Components,Big Table Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Screens For Big Table Center Beam, 49"" High Horizon",
Fence Components,Intermediate Screens,Fabric,"For 42"" or 49"" High Horizon","Full Depth Intermediate Screen, 42"" High Horizon",
Fence Components,Intermediate Screens,Fabric,"For 42"" or 49"" High Horizon","Full Depth Intermediate Screen, 49"" High Horizon",
Fence Components,Intermediate Screens,Fabric,"For 42"" or 49"" High Horizon","Partial Depth Intermediate Screen, 42"" High Horizon",
Fence Components,Intermediate Screens,Fabric,"For 42"" or 49"" High Horizon","Partial Depth Intermediate Screen, 49"" High Horizon",
Fence Components,Intermediate Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Full Depth Intermediate Screens, 42"" High Horizon",
Fence Components,Intermediate Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Full Depth Intermediate Screens, 49"" High Horizon",
Fence Components,Intermediate Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Partial Depth Intermediate Screens, 42"" High Horizon",
Fence Components,Intermediate Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Partial Depth Intermediate Screens, 49"" High Horizon",
Fence Components,Desktop End Screens,Fabric,"For 42"" or 49"" High Horizon","Full Depth Desktop End Screen, 42"" High Horizon",
Fence Components,Desktop End Screens,Fabric,"For 42"" or 49"" High Horizon","Full Depth Desktop End Screen, 49"" High Horizon",
Fence Components,Desktop End Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Full Depth Desktop End Screen, 42"" High Horizon",
Fence Components,Desktop End Screens,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" High Horizon","Full Depth Desktop End Screen, 49"" High Horizon",
Fence Components,End Screens for Dual Big Table,Fabric,"For 42"" or 49"" Horizons","End Screens to 42""H",
Fence Components,End Screens for Dual Big Table,Fabric,"For 42"" or 49"" Horizons","End Screens to 49""H",
Fence Components,End Screens for Dual Big Table,"Laminate, Markerboard, Veneer or Glass","For 42"" or 49"" Horizons","End Screens to 42""H",
Fence Components,End Screens for Dual Big Table,,,"End Screens to 49""H",
Fence Components,Fence Screens,Fabric,"For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Fabric Screens for 25"" High Fence, 42"" High Horizon",
Fence Components,Fence Screens,Fabric,"For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Fabric Screens for 25"" High Fence, 49"" High Horizon",
Fence Components,Fence Screens,Fabric,"For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Fabric Screens for 28"" High Fence, 42"" High Horizon",
Fence Components,Fence Screens,Fabric,"For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Fabric Screens for 28"" High Fence, 49"" High Horizon",
Fence Components,Fence Screens,Fabric,"For 25"" and 28"" High Fence, 42"" and 49"" High Horizon",Fabric Screen Fillers for Fence,
Fence Components,Fence Screens,"Laminate, Markerboard, Veneer or Glass","For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Screens for 25"" High Fence, 42"" High Horizon",
Fence Components,Fence Screens,"Laminate, Markerboard, Veneer or Glass","For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Screens for 25"" High Fence, 49"" High Horizon",
Fence Components,Fence Screens,"Laminate, Markerboard, Veneer or Glass","For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Screens for 28"" High Fence, 42"" High Horizon",
Fence Components,Fence Screens,"Laminate, Markerboard, Veneer or Glass","For 25"" and 28"" High Fence, 42"" and 49"" High Horizon","Screens for 28"" High Fence, 49"" High Horizon",
Fence Components,S Screens,Laminate,"For 42"" High Horizon",S Screen,
Fence Components,Floorstanding Desk Screens,Laminate and Veneer L-Screens,"42"" and 49"" High","42"" High L Screens",
Fence Components,Floorstanding Desk Screens,Laminate and Veneer L-Screens,"42"" and 49"" High","49"" High L Screens",
Fence Components,Floorstanding Desk Screens,Laminate and Veneer L-Screens,"42"" and 49"" High",L Screen Corner Bracket,
Storage Components,Pedestals,Floorstanding,"18"", 24"" and 30"" Deep",Floorstanding Desk Support Box/Box/File Pedestals,
Storage Components,Pedestals,Floorstanding,"18"", 24"" and 30"" Deep",Floorstanding Desk Support File/File Pedestals,
Storage Components,Pedestals,Floorstanding,"18"", 24"" and 30"" Deep",Floorstanding Pedestal Ballast/Counterweight,
Storage Components,Pedestals,Floorstanding,"18"", 24"" and 30"" Deep",Pedestal Desk Support Adapters (pair),
Storage Components,Pedestals,Floorstanding,"18"", 24"" and 30"" Deep",Pedestal Positioning Brackets,
Storage Components,Pedestals,Floorstanding,"18"", 24"" and 30"" Deep",Pencil Tray,
Storage Components,Pedestals,Floorstanding and Freestanding Double Wide,"30"" or 36"" Wide",Freestanding Data/File Double Wide Pedestals,
Storage Components,Pedestals,Floorstanding and Freestanding Double Wide,"30"" or 36"" Wide",Freestanding File/File Double Wide Pedestals,
Storage Components,Pedestals,Floorstanding and Freestanding Double Wide,"30"" or 36"" Wide",Floorstanding Desk Support File/File Double Wide Pedestals,
Storage Components,Pedestals,Floorstanding and Freestanding Double Wide,Pedestal Accessories,Double Wide Pedestal Ballast/Counterweight,
Storage Components,Pedestals,Floorstanding and Freestanding Double Wide,Pedestal Accessories,Double Wide Pedestal Desk Support Adapters (pair),
Storage Components,Pedestals,Floorstanding and Freestanding Double Wide,Pedestal Accessories,Pedestal Positioning Brackets,
Storage Components,Pedestals,Mobile,"18"" and 24"" Deep","Mobile Personal/File Pedestals, Full Top",
Storage Components,Pedestals,Mobile,"18"" and 24"" Deep","Mobile Personal/File Pedestals, Open Top for Seat Pad",
Storage Components,Pedestals,Mobile,"18"" and 24"" Deep",Pencil Tray,
Storage Components,Pedestals,Seat Cushions,"18"" and 24"" Deep",Seat Cushions,
Storage Components,Laptop Drawer,"15"" Wide",None,Laptop Drawer,
Storage Components,Laptop Drawer,"15"" Wide",None,Drawer Pad (with grommet shown),
Storage Components,Laptop Drawer,"15"" Wide",None,Pencil Tray,
Storage Components,Suspended Storage,Laminate Wood File,"15"" Wide",Suspended Laminate Wood Files For Use With Desks,
Storage Components,Suspended Storage,Laminate Wood File,"15"" Wide",Suspended Laminate Wood Files For Use With Big Tables,
Storage Components,Suspended Storage,Veneer Wood File,"15"" Wide",Suspended Veneer Wood Files For Use With Desks,
Storage Components,Suspended Storage,Veneer Wood File,"15"" Wide",Suspended Veneer Wood Files For Use With Big Tables,
Storage Components,Suspended Storage,Laminate Open Cabinets,"15"" Wide",Suspended Laminate Open Cabinets with Front and Back Access For Use With Desks,
Storage Components,Suspended Storage,Laminate Open Cabinets,"15"" Wide",Suspended Laminate Open Cabinets with Side Access For Use With Desks,
Storage Components,Suspended Storage,Laminate Open Cabinets,"15"" Wide",Suspended Laminate Open Cabinets with Front and Back Access For Use With Big Tables,
Storage Components,Suspended Storage,Laminate Open Cabinets,"15"" Wide",Suspended Laminate Open Cabinets with Side Access For Use With Big Tables,
Storage Components,Suspended Storage,Veneer Open Cabinets,"15"" Wide",Suspended Veneer Open Cabinets with Front and Back Access For Use With Desks,
Storage Components,Suspended Storage,Veneer Open Cabinets,"15"" Wide",Suspended Veneer Open Cabinets with Side Access For Use With Desks,
Storage Components,Suspended Storage,Veneer Open Cabinets,"15"" Wide",Suspended Veneer Open Cabinets with Front and Back Access For Use With Big Tables,
Storage Components,Suspended Storage,Veneer Open Cabinets,"15"" Wide",Suspended Veneer Open Cabinets with Side Access For Use With Big Tables,
Storage Components,Extension Cabinets,For Desks,Above and Below Tops,Above Desk Extension Cabinets,
Storage Components,Extension Cabinets,For Desks,Above and Below Tops,Below Desk Extension Cabinets,
Storage Components,Extension Cabinets,For Desks,Above and Below Tops,Connector Kit for Above Desk Extension Cabinets,
Storage Components,Extension Cabinets,For Desks,Above and Below Tops,Connector Kit for Above or Below Desk Extension Cabinets,
Storage Components,Extension Cabinets,For Dual Sided Big Tables,Above and Below Tops,Above Big Table Extension Cabinets,
Storage Components,Extension Cabinets,For Dual Sided Big Tables,Above and Below Tops,Below Big Table Extension Cabinets,
Storage Components,Extension Cabinets,For Dual Sided Big Tables,Above and Below Tops,Connector Kit for Above and Below Big Table Extension Cabinets,
Storage Components,Extension Cabinets,Fabric Inserts,For Desk and Big Table Cabinets,Fabric Inserts for Above Desk Extension Cabinets,
Storage Components,Extension Cabinets,Fabric Inserts,For Desk and Big Table Cabinets,Fabric Inserts for Above Big Table Extension Cabinets,
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Open Cabinets,"Stanchion Mounted Cabinet, Open Front and Back",
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Open Cabinets,"Stanchion Mounted Cabinet, Open Front and Enclosed Back",
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Open Cabinets,"Stanchion Mounted Shared Cabinet, Open Front and Enclosed Back Opening on Left",
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Open Cabinets,"Stanchion Mounted Shared Cabinet, Open Front and Enclosed Back Opening on Right",
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Shared Sliding Door Cabinets with Opening on Left,"Stanchion Mounted Shared Sliding Door Cabinet Case, Opening on Left",
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Shared Sliding Door Cabinets with Opening on Left,"Sliding Door Kit for Stanchion Mounted Shared Sliding Doors Cabinet Case, Opening on Left",
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Shared Sliding Door Cabinets with Opening on Right,Stanchion Mounted Shared Sliding Door Cabinet Case Opening on Right,
Storage Components,Stanchion Mounted Wood Storage,For Big Table and Fence,Shared Sliding Door Cabinets with Opening on Right,"Sliding Door Kit for Stanchion Mounted Shared Sliding Doors Cabinet Case, Opening on Right",
Storage Components,Stanchion Mounted Metal Storage,For Big Table and Fence,Open and Shared Cabinets,"Stanchion Mounted Cabinets, Open Front and Back",
Storage Components,Stanchion Mounted Metal Storage,For Big Table and Fence,Open and Shared Cabinets,"Stanchion Mounted Shared Cabinets, with Enclosed Back and Open Front, Opening on Left",
Storage Components,Stanchion Mounted Metal Storage,For Big Table and Fence,Open and Shared Cabinets,"Stanchion Mounted Shared Cabinets, with Enclosed Back and Open Front, Opening on Right",
Storage Components,Stanchion Mounted Metal Storage,For Big Table and Fence,Open and Shared Cabinets,"Stanchion Mounted Shared Cabinets, with Sliding Doors, Opening On Left",
Storage Components,Stanchion Mounted Metal Storage,For Big Table and Fence,Open and Shared Cabinets,"Stanchion Mounted Shared Cabinets, with Sliding Doors, Opening On Right",
Storage Components,Stanchion Mounted Platform,For Big Table and Fence,"15"" Deep",Platform,
Storage Components,Stanchion Supports,For Big Table and Fence,None,Stanchions for Big Table,
Storage Components,,For Big Table and Fence,None,"Stanchions for 25"" High Fence",
Storage Components,,For Big Table and Fence,None,"Stanchions for 281/2"" High Fence",
Storage Components,Cantilever Shelves,"12"" and 24"" Wide",None,"Cantilever Shelf for Big Table, attaches to center beam",
Storage Components,Cantilever Shelves,"12"" and 24"" Wide",None,"Desk Mounted Cantilever Shelf, clamps to worksurface",
Storage Components,Floorstanding Personal Desk-End Cabinets,"49"" High, Hinged on Left",None,"Personal Desk-End Cabinets, with Hinged Door (Hinged on Left)",
Storage Components,Floorstanding Personal Desk-End Cabinets,"49"" High, Hinged on Left",None,"Personal Desk-End Cabinets, Open Front with Shelves and Hinged Door Back (Hinged on Left)",
Storage Components,Floorstanding Personal Desk-End Cabinets,"49"" High, Hinged on Right",None,"Personal Desk-End Cabinets, with Hinged Door (Hinged on Right)",
Storage Components,Floorstanding Personal Desk-End Cabinets,"49"" High, Hinged on Right",None,"Personal Desk-End Cabinets, Open Front with Shelves and Hinged Door Back (Hinged on Right)",
Storage Components,Floorstanding Personal Desk-End Cabinets,"49"" High",None,"Shared Desk-End Cabinets, Open Front and Back with Shelves",
Storage Components,Floorstanding Personal Desk-End Cabinets,"49"" High",None,"Shared Desk-End Cabinets, Enclosed Hinged Door Front and Back",
Storage Components,Floorstanding Desk-End Cabinet Accessories,Adjustable Shelf Set and Coat Hook,None,"Adjustable Shelf Set for Shared Desk-End Cabinets, Enclosed Hinged Door Front and Back",
Storage Components,Floorstanding Desk-End Cabinet Accessories,Adjustable Shelf Set and Coat Hook,None,Coat hook,
Storage Components,Floorstanding L and Wardrobe Cabinets,"49"" and 67"" High",None,L Cabinet,
Storage Components,Floorstanding L and Wardrobe Cabinets,"49"" and 67"" High",None,"36"" Wide Wardrobe",
Storage Components,Floorstanding L and Wardrobe Cabinets,"49"" and 67"" High",None,"18"" Wide Wardrobe",
Storage Components,Floorstanding File Cabinets,"25"", 28"", 42"", 49"", 56"" and 67"" High",None,"Partially Enclosed Shelf Cabinets with Open Shelves Above and Drawers Below (56"" high shown)",
Storage Components,Floorstanding File Cabinets,"25"", 28"", 42"", 49"", 56"" and 67"" High",None,Enclosed Box/File Cabinet,
Storage Components,Floorstanding File Cabinets,"25"", 28"", 42"", 49"", 56"" and 67"" High",None,Enclosed File/File Cabinet,
Storage Components,Floorstanding File Cabinets,"25"", 28"", 42"", 49"", 56"" and 67"" High",None,"Partially Enclosed File Cabinet (25"" high shown)",
Storage Components,Floorstanding File Cabinets,"25"", 28"", 42"", 49"", 56"" and 67"" High",None,File Cabinet Ballast/Counterweight,
Storage Components,Floorstanding Enclosed Shelf Cabinets,"25"", 28"", 42"", 49"" and 56"" High",None,Enclosed Shelf Cabinet with Four Doors,
Storage Components,Floorstanding Enclosed Shelf Cabinets,"25"", 28"", 42"", 49"" and 56"" High",None,"Enclosed Shelf Cabinets with Two Doors (56"" high shown)",
Storage Components,Floorstanding Enclosed Shelf Cabinets,"25"", 28"", 42"", 49"" and 56"" High",None,"Enclosed Shelf Cabinets with Two Doors and Partially Open Back (28"" high shown)",
Storage Components,Floorstanding Partially Enclosed Shelf Cabinets,"42"", 49"", 56"" and 67"" High",None,Partially Enclosed Shelf Cabinet with Open Shelves Above and Enclosed Shelves Below,
Storage Components,Floorstanding Partially Enclosed Shelf Cabinets,"42"", 49"", 56"" and 67"" High",None,Partially Enclosed Shelf Cabinet with Enclosed Shelves Above and Open Shelves Below,
Storage Components,Floorstanding Open Shelf Cabinets,"25"", 28"", 42"", 49"" and 56"" High",None,"Open Shelf Cabinets (56"" high shown)",
Storage Components,Floorstanding Open Shelf Cabinets,"25"", 28"", 42"", 49"" and 56"" High",None,"Open Shelf Cabinets with Partially Open Back (28"" high shown)",
Storage Components,Wall Mounted Wood Cabinets,Laminate or Veneer Case,"36"", 42"", 48"", 60"" or 72"" Wide","Wall Mounted Wood Cabinets, Open Front and Enclosed Back",
Storage Components,Wall Mounted Wood Cabinets,Laminate or Veneer Case,"36"", 42"", 48"", 60"" or 72"" Wide","Wall Mounted Wood Cabinets, Sliding Door Cabinet Case",
Storage Components,Wall Mounted Wood Cabinets,Laminate or Veneer Case,"36"", 42"", 48"", 60"" or 72"" Wide",Sliding Door Set for Wall Mounted Wood Cabinets,
Storage Components,Wall Mounted Metal Cabinets,Open and Sliding Doors,"36"", 42"", 48"", 60"" or 72"" Wide","Wall Mounted Metal Cabinets, Open Front and Enclosed Back",
Storage Components,Wall Mounted Metal Cabinets,Open and Sliding Doors,"36"", 42"", 48"", 60"" or 72"" Wide","Wall Mounted Metal Cabinets, with Sliding Doors",
Storage Components,LED Task Lights,for wood and metal overhead storage,None,for wood and metal overhead storage,
Interpole Components,Interpole Poles and Covers,Without Outlets (no holes for power),None,"Pole with covers, no outlet openings",
Interpole Components,Interpole Poles and Covers,Without Outlets (no holes for power),None,"Pole with covers, no outlet openings, grommet in one cover",
Interpole Components,Interpole Poles and Covers,Without Outlets (no holes for power),None,Extension Pole with covers,
Interpole Components,Interpole Poles and Covers,Without Outlets (no holes for power),None,Pole without covers,
Interpole Components,Interpole Poles and Covers,With Outlets,None,"Poles with covers, with outlet openings one side",
Interpole Components,Interpole Poles and Covers,With Outlets,None,"Poles with covers, with outlet openings both sides",
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,Duplex Outlet,
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,USB Outlet,
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,Power Connectors between Outlets,
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,Modular Infeeds from Ceiling J-Box,
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,Hardwire Ceiling Infeed,
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,Edge Liner,
Interpole Components,Interpole Power Components,Power to Outlets within Interpole,None,Blank Outlet Filler,
Interpole Components,Interpole Power Components,Ceiling Infeeds to other Systems,None,"Ceiling infeed passing through Interpole to Antenna desk, Big Table or Fence",
Interpole Components,Interpole Power Components,Ceiling Infeeds to other Systems,None,Ceiling infeed passing through Interpole to Dividends Horizon Panels,
Interpole Components,Interpole Power Components,Ceiling Infeeds to other Systems,None,Ceiling infeeds passing through Interpole to Reff Profiles panels,
Interpole Components,Interpole Power Components,Ceiling Infeeds to other Systems,None,Ceiling infeeds passing through Interpole to AutoStrada Spine,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Outlet Covers,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Chicago Hardwire outlet Box,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Cable Clips for Interpole,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Internal Cable Clips,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Interpole Vertical Wire Manager,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Ceiling Tile Trim,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Extension Pole Extra Hardware Kit,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Interpole Round Platform,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Cantilever Shelf,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Coat Hook,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Bag Hook,
Interpole Components,Interpole Accessories,Interpole Accessories,None,Accessory Cup,
Interpole Components,Interpole Accessories,Interpole Accessories,None,CPU Mounting Brackets with Adjustable Straps,
Interpole Components,Interpole Accessories,Interpole Accessories,None,CPU Mounting Plate,
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"15"" High","Screens Between Poles, 15""H Laminated Opaque Glass Both Sides",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"15"" High","Screens Between Poles, 15""H Laminated Translucent Glass Both Sides",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"15"" High","Screens Between Poles, 15""H Markerboard Laminate Both Sides",
Interpole Components,Interpole Screens,Markerboard/Tackable Fabric Combination,"15"" High","Screens Between Poles, 15""H Markerboard Laminate One Side/Tackable Fabric Opposite Side",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"24"" High","Screens Between Poles, 24""H Laminated Opaque Glass Both Sides",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"24"" High","Screens Between Poles, 24""H Laminated Translucent Glass Both Sides",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"24"" High","Screens Between Poles, 24""H Markerboard Laminate Both Sides",
Interpole Components,Interpole Screens,Markerboard/Tackable Fabric Combination,"24"" High","Screens Between Poles, 24""H Markerboard Laminate One Side/Tackable Fabric Opposite Side",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"32"" High","Screens Between Poles, 32""H Laminated Opaque Glass Both Sides",
Interpole Components,Interpole Screens,Markerboard Laminate or Glass,"32"" High","Screens Between Poles, 32""H Laminated Translucent Glass Both Sides",
